Date,Startup Name,Vertical,Sub-Vertical,City,Type,Amount (in USD),Remarks
3/6/2015,Arkin Net,Data Center Software platform,,Pune,Private Equity,15000000,Series B
3/6/2015,Little Black Book Delhi,Online City & Lifestyle Guide,,New Delhi,Seed Funding,150000,
3/6/2015,MyPoolin,P2P Payments platform,,New Delhi,Seed Funding,N/A,
3/6/2015,iCustomadeit,Bespoke Merchandize Marketplace,,Pune,Seed Funding,250000,
3/6/2015,KAARYAH,Women Lifestyle Marketplace,,Gurgaon,Seed Funding,N/A,
4/6/2015,Ecom Express,Logistics Solution Provider,,New Delhi,Private Equity,137000000,Series C
4/6/2015,Vidooly,Video Intelligence Platform,,Noida,Private Equity,1000000,Pre-Series A
4/6/2015,Zopper,Hyperlocal Shopping App,,Mumbai,Private Equity,20000000,Series C
4/6/2015,Flipkart,eCommerce platform,,Bangalore,Private Equity,50000000,Late Stage
5/6/2015,kWatt Solutions,Renewable energy solutions,,Mumbai,Seed Funding,500000,
5/6/2015,Medwell Ventures,Healthcare Service provider,,Bangalore,Private Equity,10000000,Series A
5/6/2015,Jugnoo,Auto Rickshaw Based Services,,Chandigarh,Private Equity,5000000,Series A
8/6/2015,PosterGully,Artist / Designer Marketplace,,New Delhi,Seed Funding,N/A,
8/6/2015,Applied Solar Technologies,Off-grid Solar Power,,Mumbai,Private Equity,40000000,Series B
9/6/2015,Clovia,Private Label lingerie Ecommerce,,New Delhi,Private Equity,5000000,Series A
9/6/2015,Swiggy,Online Food Ordering,,Bangalore,Private Equity,16500000,Series B
9/6/2015,PayMango,Mobile Commerce Platform,,Gurgaon,Seed Funding,234000,
9/6/2015,Printland,Online Printing Services,,New Delhi,Private Equity,N/A,Series A
9/6/2015,Teritree,Digital Marketing Services,,Bangalore,Seed Funding,140000,
10/6/2015,Guiddoo,Travel Guide Mobile App,,Mumbai,Seed Funding,N/A,
10/6/2015,Voonik,Fashion Ecommerce store,,Bangalore,Private Equity,5000000,Series A
11/6/2015,AdStringO,Mobile Compression Software,,Mumbai,Seed Funding,350000,
11/6/2015,Faircent.com,Peer to Peer Lending platform,,Gurgaon,Seed Funding,250000,Pre-Series A
12/6/2015,La Renon,Global Healthcare products,,Ahmedabad,Private Equity,16000000,Series A
15/06/2015,Homelane,Home Furnishing Solutions,,Bangalore,Private Equity,50000000,Series B
15/06/2015,iSTAR,Skill Training & Placement Platform,,Bangalore,Private Equity,N/A,Series A
15/06/2015,Shippr,Intra-City Logistics service,,Bangalore,Seed Funding,500000,
16/06/2015,FoodAbhi,online tiffin service aggregator,,Mumbai,Seed Funding,N/A,
16/06/2015,Karma Recycling,Electronic Goods recycling service,,Delhi,Private Equity,N/A,Series A
16/06/2015,CouponRaja,Online Coupon & comparison platform,,Mumbai,Seed Funding,500000,
17/06/2015,Babychakra,Parents & Kids Online platform,,Mumbai,Seed Funding,N/A,
17/06/2015,Jiffstore,Online Grocery platform,,Bangalore,Seed Funding,N/A,additional funding round
17/06/2015,MyDentist,Dental Clinic chain,,Mumbai,Private Equity,8200000,Series C
18/06/2015,Moovo,On-Demand Logistics Service,,New Delhi,Seed Funding,N/A,
18/06/2015,Fracktal Works,3D Printer Manufacturer,,Bangalore,Private Equity,3000000,Series A
18/06/2015,Hansa Customer Equity,IT / Customer Engagement Consulting,,Mumbai,Private Equity,5000000,Series A
18/06/2015,HealthifyMe,Health & Fitness App,,Bangalore,Private Equity,N/A,Series A
18/06/2015,CAKART.in,Online Education Marketplace,,Bangalore,Seed Funding,N/A,
19/06/2015,Housejoy,Home services marketplace,,Bangalore,Private Equity,4000000,Series A
19/06/2015,FundsIndia.com,Financial Services Platform,,Chennai,Private Equity,11000000,Series C
20/06/2015,Cupick,Social Network for Artists,,Bangalore,Seed Funding,120000,
20/06/2015,Tracxn,Startup funding platform,,Bangalore,Private Equity,10000000,Series A
21/06/2015,Holachef,Food Delivery Platform,,Mumbai,Private Equity,3100000,Series A
22/06/2015,belong,Data Driven recruitment recommendation,,Bangalore,Private Equity,5000000,Series A
22/06/2015,Ixigo,Travel Search Engine,,Gurgaon,Private Equity,N/A,Strategic Investment
22/06/2015,SkillAngels,Brain Games Platform,,Chennai,Seed Funding,N/A,
22/06/2015,Vidgyor,Video Advertisement Platform,,Bangalore,Seed Funding,500000,
22/06/2015,Banihal,Algorithmic Match Making Platform,,New Delhi,Seed Funding,N/A,
23/06/2015,Goodservice,Mobile Chat based concierge service,,New Delhi,Private Equity,1600000,Series A
23/06/2015,Treebo,Online Budget Hotel Booking Service,,Bangalore,Private Equity,6000000,Series A
23/06/2015,EduKart,Online education marketplace,,New Delhi,Private Equity,1000000,Series A
23/06/2015,Healthians.com,Preventive healthcare services,,Hyderabad,Seed Funding,N/A,
24/06/2015,LabInApp,Science Learning App,,Bangalore,Seed Funding,N/A,
24/06/2015,Syona Cosmetics,Beauty and Wellness platform,,Chennai,Seed Funding,N/A,
24/06/2015,Sigrid Education,Online Education Platform,,Noida,Seed Funding,N/A,
24/06/2015,Indix,SaaS product intelligence platform,,,Private Equity,15000000,Series C
24/06/2015,The Porter,Logistics Tech,,Mumbai,Private Equity,5500000,Series A
24/06/2015,Retention.ai,App Analytics platform,,Bangalore,Seed Funding,500000,
25/06/2015,Fusion Microfinance,Micro Finance Platform,,New Delhi,Private Equity,8600000,Series C
