host	logname	time	method	url	response	bytes	referer	useragent
gater3.sematech.org	-	804571471	GET	/cgi-bin/imagemap/countdown?370,274	302	68		
teleman.pr.mcs.net	-	804571471	GET	/images/launch-logo.gif	304	0		
slip1.yab.com	-	804571472	GET	/history/rocket-history.txt	200	26990		
ppp-nyc-3-1.ios.com	-	804571473	GET	/shuttle/missions/sts-71/movies/sts-71-hatch-hand-group.mpg	200	49152		
netport-27.iu.net	-	804571474	GET	/images/KSC-logosmall.gif	200	1204		
savvy1.savvy.com	-	804571474	GET	/images/launchmedium.gif	200	11853		
199.33.32.50	-	804571476	GET	/shuttle/missions/sts-71/movies/sts-71-launch-3.mpg	200	130724		
129.188.154.200	-	804571477	GET	/images/launch-logo.gif	200	1713		
pme607.onramp.awinc.com	-	804571478	GET	/shuttle/missions/sts-71/mission-sts-71.html	200	12040		
bart-slip1.llnl.gov	-	804571480	GET	/shuttle/technology/sts-newsref/stsref-toc.html	200	84907		
ad03-031.compuserve.com	-	804571480	GET	/facilities/vab.html	200	4045		
ix-sd11-26.ix.netcom.com	-	804571484	GET	/shuttle/countdown/	200	3985		
savvy1.savvy.com	-	804571484	GET	/images/NASA-logosmall.gif	200	786		
savvy1.savvy.com	-	804571484	GET	/images/KSC-logosmall.gif	200	1204		
news.ti.com	-	804571486	GET	/images/NASA-logosmall.gif	200	786		
ix-sd11-26.ix.netcom.com	-	804571486	GET	/images/NASA-logosmall.gif	200	786		
news.ti.com	-	804571486	GET	/images/MOSAIC-logosmall.gif	200	363		
ix-sd11-26.ix.netcom.com	-	804571488	GET	/shuttle/countdown/count.gif	200	40310		
ix-war-mi1-20.ix.netcom.com	-	804571488	GET	/shuttle/missions/sts-78/mission-sts-78.html	200	4377		
ix-war-mi1-20.ix.netcom.com	-	804571490	GET	/shuttle/missions/sts-78/sts-78-patch-small.gif	200	4179		
ad03-031.compuserve.com	-	804571491	GET	/images/vab-small.gif	200	35709		
ix-sd11-26.ix.netcom.com	-	804571491	GET	/images/KSC-logosmall.gif	200	1204		
199.166.39.14	-	804571492	GET	/shuttle/countdown/	200	3985		
news.ti.com	-	804571492	GET	/images/WORLD-logosmall.gif	200	669		
pme607.onramp.awinc.com	-	804571494	GET	/cgi-bin/imagemap/countdown?99,178	302	110		
news.ti.com	-	804571495	GET	/images/USA-logosmall.gif	200	234		
remote27.compusmart.ab.ca	-	804571495	GET	/shuttle/missions/sts-71/images/KSC-95EC-0871.gif	200	45518		
charger.execpc.com	-	804571495	GET	/history/apollo/apollo-13/apollo-13.html	200	18114		
199.166.39.14	-	804571496	GET	/images/NASA-logosmall.gif	200	786		
onyx.southwind.net	-	804571498	GET	/images/shuttle-patch-logo.gif	200	891		
199.166.39.14	-	804571499	GET	/images/KSC-logosmall.gif	200	1204		
pme607.onramp.awinc.com	-	804571502	GET	/shuttle/missions/sts-71/images/images.html	200	7634		
ix-sd11-26.ix.netcom.com	-	804571506	GET	/cgi-bin/imagemap/countdown?107,144	302	96		
link097.txdirect.net	-	804571506	GET	/shuttle	302	0		
link097.txdirect.net	-	804571507	GET	/shuttle/	200	957		
dd11-054.compuserve.com	-	804571509	GET	/shuttle/missions/61-c/mission-61-c.html	200	8368		
charger.execpc.com	-	804571512	GET	/history/apollo/apollo-13/apollo-13-patch-small.gif	200	12859		
ix-war-mi1-20.ix.netcom.com	-	804571513	GET	/shuttle/missions/sts-78/news	302	0		
link097.txdirect.net	-	804571513	GET	/icons/blank.xbm	200	509		
ix-war-mi1-20.ix.netcom.com	-	804571514	GET	/shuttle/missions/sts-78/news/	200	374		
ix-war-mi1-20.ix.netcom.com	-	804571515	GET	/icons/blank.xbm	200	509		
ix-war-mi1-20.ix.netcom.com	-	804571517	GET	/icons/menu.xbm	200	527		
